asset_id,code,name,category,rationale
b8edcc6a7cf3738a3806fdbadb1bbcfc2540ec37f6732ab3a6a4bbcd2dbec105,MZ,Monkeyzoo Token,NFT-project utility token,native token Monkeyzoo NFT
3c6da5ae38438db6299426402dc23f9436ee085270ed76f8fc7f9e6b4136dca2,🐈,PUSSY,Memecoin,Official CAT of PussySwap
88970c9500b70e3a4cc2a7bb9a50dbffae190ea730be475d43b5001a431d6c2d,TIBET-G4M-XCH,TibetSwap LP G4M-XCH,LP token,TibetSwap LP token
ec25b77bc54df637392d6a0f542de65f45020405d0f36ced723bff2870c378b1,MJO,MoJo•JoJo,Memecoin,MoJo JoJo faucet token
509deafe3cd8bbfbb9ccce1d930e3d7b57b40c964fa33379b18d628175eb7a8f,CH21,Chia Holiday 2021,Memecoin,Chia Holiday 2021 collectible
9c09a4ca57065cadce8f3194f985056773360968a1e90a70dbe37f3630deff1e,CMTG,CMT Gold,Game-economy token,Chia Monster Tower currency
d3647f946788b0c29b07d8fbb23d99f1accf1cf6f8f0b2840c85105439d30e63,THW,THW,Game-economy token,Tractor Hours Work on plots
6188396ebb38365be3f7aad1d5c0310d1b6ce66180d8847e5da096e2ce33ba1a,GYATT,GYATT,Memecoin,GYATT BEPE meme
00535a3707d006d91221cb70eaa00f4b707bcd8ddf01b2a8bc4498875559832a,XHAY,XHAY,Game-economy token,FarmerVerse agriculture resource
4275bd94b6913028adc4b183288a873c7cabf65c163e6db7d5686e4ccdc0bb35,XSEED,XSEED,Game-economy token,FarmerVerse agriculture resource
2b0b9542278bd983d292d4b335460f3ddffd911cff98276fe488bd43f5d3ef7a,XCOW,XCOW,Game-economy token,FarmerVerse animal cycle
8b82932596d543ee08fe3945a9a436879d7f5051bcfed08e28f4048cb4cc5a07,XEG,XEG Green Token,Memecoin,airdrop community meme token
367c6b0d8df5d86e5a06da7e57dc1f339a684516435c6bc86f69af1ec1adddb6,XPIG,XPIG,Game-economy token,FarmerVerse animal cycle
ec9d874e152e888231024c72e391fc484e8b6a1cf744430a322a0544e207bf46,PEPE,PepeCoin,Memecoin,PepeCoin for the degenerates
70010d83542594dd44314efbae75d82b3d9ae7d946921ed981a6cd08f0549e50,❤️,LOVE,Social / community token,Tang Gang Love token
bfcfab5d13381531d45a0aa73ff846e13e7b7f90f682e939f87c38a7b57bace6,XSHEP,XSHEEP,Game-economy token,FarmerVerse animal cycle
69326954fe16117cd6250e929748b2a1ab916347598bc8180749279cfae21ddb,$CHIA,VersaceFerrariVegasApartmentPatek9000Inu,Memecoin,single issuance rug meme
1dadf5b097d2e1257d375759aaa15298ed3e0f70b6de275d9c70dc2f7eca14a8,MIO,Marmots.io,Game-economy token,Marmots.io browser game currency
ab558b1b841365a24d1ff2264c55982e55664a8b6e45bc107446b7e667bb463b,🌱,SPROUT,Memecoin,Ultimate Meme Token Chia
5c8eab03c9f7e58881539363c15afedbfe884e3b3d57fa96d2607780d7b0b419,XCHIN,XCHICKEN,Game-economy token,FarmerVerse animal cycle
dee835fbd92ea63fe8f192a6f94b80ae5bad7443284d1347c73143cd25a94293,CNAR,CNAR Token,Memecoin,community reward meme token
f74008e2cfa9c6ebf88a3c473c2603c53b17a3c48a365fbdc752430a07e3921b,XMILK,XMILK,Game-economy token,FarmerVerse animal-cycle resource
9841225e2372fb4a32791dd96ca231b25e4f7d14e9b59d217b8881a82f858806,XMEAT,XMEAT,Game-economy token,FarmerVerse animal-cycle resource
3c75c138fe2fc94c0bae3467e7ae5a457758cb058925424ec2eb327f6b231a18,ALWEAP,Abandoned Land - Weapon,Game-economy token,Abandoned Land game family
6c7b32f8f725ca4138ea1a6c3330184d3fd8a8c319946cedd4df18c848565284,KUT,KUT Token,Memecoin,single issue meme coin
d92268a1df8aa91aa410fcfaaa57583562bdfe9bacb458453f3518c4a3256124,CHEEZE,CheeZe for SpaceRatZNFT,NFT-project utility token,utility token SpaceRatZNFT
769a1598eb4dbe931f7a9e98ebc8935130769b81131353d1f531ad79f5ecb6be,XWOOL,XWOOL,Game-economy token,FarmerVerse animal-cycle resource
84d31c80c619070ba45ce4dc5cc0bed2ae4341a0da1d69504e28243e6ccbef37,PP,PP,Social / community token,currency within TangGang community
4c9c99becbb2b4de99e2faf7e1d79789f0b8d91e7986b18f5de73b5957a0c65b,XEGG,XEGG,Game-economy token,FarmerVerse animal-cycle resource
92f9457654ca2808440587c3347ac923f8e41c05764b45da3454b210ce4268b7,OEN,OENOMAUS,Protocol / platform / infra,ICO for software generation
c2cd1406e2a3700b016f978b56040efff44071d23bda4614c1978f3f5bfc4e7b,ENIGMA,ENIGMA,Game-economy token,Verse ecosystem game crystal
1c009be94c996222ef28d4f7a2c1e38f8699542ee14ef9d26a853ff0a9540a6d,TAU,TAU Token,Memecoin,TAU star fragment meme
563c883b801c4e6c736994d09ec69c94c9c6482612b4655b76097282b8d2fae6,WARP,Warp,Memecoin,community-driven memecoin
1ad673d21799c9a224014ca71f9fe07cbc836fa23fa97b3be275d46d0b8bd9da,NeckCoin,NeckCoin,NFT-project utility token,NeckBeard Punk NFT coin
a30ce6074671db2926e00a077ba1471782fb36eb9e2c8072082fb239474b96a7,INCL1,Inception Liquidity L1,Protocol / platform / infra,Inception Liquidity DeFi
8c0b6466b559d27ddbeebbdf3e031861ff613b438070284ef4f914116d96ba44,FRDM,freedom,NFT-project utility token,100K per freedom NFT
eb2155a177b6060535dd8e72e98ddb0c77aea21fab53737de1c1ced3cb38e4c4,🪄⚡️,Spell Power,Memecoin,Spell Power Wizards meme
ea3ace5525d6aaf6d921b66052afc67da11c820b676de91d61ae1a766c8ce615,CRT,Circuit Token,Unclassified,no description
3057c3eca4087abbc15d75b29b56e523a9f85cf4476802e137c645cf7d5d9f5f,WESO,Weso,Game-economy token,reward token of weso game
8fac6c37fa3bf95bdb2e473df9839fa5f50580c7bad8b6ea13ad201b695b9398,MINUTES,Minutes,Social / community token,TangTalk proof-of-use
0941dc178e75d3699fab42a002034cae455ba5dfc91a9a9f58b62c48c9cea754,CHAD,Chad,Memecoin,Chad meme
048b1358f3b55a70c4db22114c2f52569c0398ba19e8212b8daf1cb25c90a641,HonK,HonK,Memecoin,HonK meme
3421ebd1b4bc6617973f165744b49c956ab7a58782062744cc2e451bea894fe5,XFRUT,XFRUIT,Game-economy token,FarmerVerse orchard resource
dd37f678dda586fad9b1daeae1f7c5c137ffa6d947e1ed5c7b4f3c430da80638,🍕,PIZZA 🍕,Memecoin,PIZZA meme
bbbedf8bd9c7b1c2ef8fb211f28eccb84c498809d453a1df6ee494da872be281,DMT,DAT MEME TOKEN,Memecoin,DAT MEME TOKEN
287b633167f822353444492c96030db71ee78e6ac33897ea4c572623aa4c94d2,XIP,Fools Gold,Memecoin,Fools Gold no value
2f3a28ba03734b65797df5d5ff0e253606e7fea2e2ee341c39e9a405bce68aa8,GOT,GOT Token,Memecoin,community reward meme token
b0eee4ddb9e5c4dd868fb834ae987d504f0faa46becc79db6968ffe248422d35,XWOOD,XWOOD,Game-economy token,FarmerVerse orchard resource
cb21f3625d7b4e8f843dda59b4b7866862f16c376077134cc8735e2b3a29c011,WAR,WAR,NFT-project utility token,WarBear NFT daily token
ea830317f831a23b178aa653e50484568d30d2c5b34d8140e71247ead05961c7,CC,Caesar Coin,Memecoin,Caesar Coin meme
482b49902d310c53065c3531d398d41808f1390590d566815d67040f6a32d124,CTK,Catkchi,Memecoin,Catkchi medium of exchange
623ee5ec5a082747154cfe60a4bffc3d0491472940c4a81d676e40f7c9d9a0dd,TIBET-FBX-XCH,TibetSwap LP FBX-XCH,LP token,TibetSwap LP token
7d4de8d69be7a3f661a04284ec96e7ca1c33bf0f5eeacf8740e8d37ff4d698a8,CHUMP,ChumpCoin,Memecoin,probably gonna dump meme
f471706d40b3d1938ebf2afd9afb3a8efcf1d6c7f3f68ba8b8c76371e220ee20,NIOG,NioGold,Protocol / platform / infra,NioGold protocol token
b22b1a805a3b846e2347d88269076a1be2af97534a1ef1d2e9df405f70c28990,BRAM♕PUNK☮,Bram CyberPUNK,Memecoin,Bram cypherpunk meme
a406d3a9de984d03c9591c10d917593b434d5263cabe2b42f6b367df16832f81,DIG,DIG Network,Protocol / platform / infra,Official DIG Network token
a09af8b0d12b27772c64f89cf0d1db95186dca5b1871babc5108ff44f36305e6,✨❤️‍🔥🧙‍♂️,Caster,Memecoin,Caster MeMe coin Chia
bbb51b246fbec1da1305be31dcf17151ccd0b8231a1ec306d7ce9f5b8c742b9e,wUSDC,Ethereum warp.green USDC,Stablecoin,USDC bridged via warp.green
a1cb22807f3a273355ebc1e9b886f8f8ca8a7f8d7716d5e40e3ddd498d6c6ae5,LFG,Let's Farmer Go,Memecoin,ultimate memecoin not utility
7e0353e36d52e8e7b3a985e493b229f10014ac86f87d4ce15f11c1a2bf963d4c,ASON,ASON Token,Unclassified,no description
9a272827e361f2171ba80332940fbe9d76c0932c41ef9925578bd30a8f587f8b,¢ni,¢at Network Index,Memecoin,first memecoin index
ee495b3795eebe47c5cbf3cd6e47a2e418e6dc65ce493c626c0cc140fcd2dcf1,GEN,Green Energy,NFT-project utility token,Green Energy NFT support
a66ce97b58a748b3bb2a8224713620cca0ca00cb87e75837b1f04e3a543aaa40,BANANA,BANANA,Memecoin,green banana hype meme
7108b478ac51f79b6ebf8ce40fa695e6eb6bef654a657d2694f1183deb78cc02,GWT,Green Wallet Token,Protocol / platform / infra,Ecosystem of Chia products
dbc10b12861b0ba902bb14a8feeb75df6bf014a0ef14716d6242b9ada3a34de3,MOJO,DBC Art Coin,NFT-project utility token,1 Mojo Club NFT coin
e233f9c0ebc092f083aaacf6295402ed0a0bb1f9acb1b56500d8a4f5a5e4c957,MWIF,Marmot Wif Hat,Memecoin,Marmot Wif Hat memecoin
83314b078d6247e4974faf6d63b8c37a1dd83cc667c74e5c58240223c4f5e4cc,KALI,Kali,Memecoin,"no description, meme by family"
de6b7e0dec3b3b68779f9331973270f52a4172cd84f47f7742432ab85ca33458,🥔,POTATO,Memecoin,stablecoin pegged to zero meme
b0495abe70851d43d8444f785daa4fb2aaa8dae6312d596ee318d2b5834cc987,DWB,DWB,Memecoin,dickbutt meme token
29320e8cfbc13684e9f5471b65e7d99684b369c91bbadb11b0a56c20f76917c5,ZOMB,Zomb,NFT-project utility token,Zombie/Horror NFT community token
d1adf97f603cdec4998a63eb8ffdd19480a60e20751c8ec8386283b1d86bf3f9,MOG,MOG,Social / community token,for the TangGang crew
e1a97afddabfb1a87fb7df4f90488f44028a57173b9340a6644ae659a7575831,STRRO,STARRO FUN,Memecoin,Starro control universe meme
0570076f3c2cd8d6e65f9b56f96ab92079d3ce7ab7372c751e1c19fdb42b25d4,GRAPE,APULIA GRAPE,Memecoin,Apulia Grape meme
f1381ce3175277be107b38e40f4078c125adebe4888f3ef74178d653af7b8a04,TIBET-FHW-XCH,TibetSwap LP FHW-XCH,LP token,TibetSwap LP token
9e04d998a90bca05bdbc301548c83104d79256f1b00bb2542104e6c6c37f2421,BBT,Big Brain Token,Memecoin,Big Brain Time meme
0957ed359f099d5846c2c74c42e7c2eb9608b58c32e320e144840e3efab0b747,MIRROR,MIRROR,Memecoin,art collections reward token
cad26bfe4f41d76b6f2de417d91e4e4090c6e7ceafe519a818c1f1033a6d6ef1,ROCKY,ROCKY STABLE TOKEN,Stablecoin,automatic STABLE token
edeb87eabd6b75d08f894df4ce1cb89a78d615208f31c572f464c8511d7cc15c,ALExp,ALExp,Game-economy token,Abandoned Land game family
5fd27391e6385e5d4bdc5b7b2df67b2e8698e337d49b94302a3551deda565e58,POTT,Proof Of Treasure Coin,Game-economy token,Proof of Treasure game reward
91154f2515698723f5f2f1a41f6ebd0a0b0ce87d3737a163f696d33655d91c8a,ACID,Acidium,Social / community token,Tang Bears by Alfonso
79ca93817d91ea055c380393e1e3485b796f33afa5df8b7e2e754d16d527d6c5,GRC,GymRatCrypto,Memecoin,GymRatCrypto streamer token
ce3be095a5d9f22cf286f94ef7a95cfa4afd83267c0d76f9f0e19fc0171d15f1,BIGD,Proof of Big DID,NFT-project utility token,Proof of Big DID NFT
7a99007d5db1e757a4bab4339f24f76b6619b2a2769a65936f4918e9bee17c60,SHD,Shard,Game-economy token,token of Chia Dungeon
370b11ffa9ed2934fbc4137be95053d4a97b7b65e850af3edc0b58f088a0059c,COOKIES,🍪,Memecoin,literally just cookies
320b869bc8d293cca8784187312da1a61cf43b9cf0724b47d8e027dcca1dd501,DEGEN,ChiFi Degens Redemption Token,NFT-project utility token,redeem for ChiFi Degen NFT
9033476927bafdf46a8e422ce0a7e0876ef10c12c79e94c087cbd96c94874219,TIBET-🪄⚡️-XCH,TibetSwap LP 🪄⚡️-XCH,LP token,TibetSwap LP token
4cb15a8ecc85068fb1f98c09a5e489d1ad61b2af79690ce00f9fc4803c8b597f,wmilliETH,Ethereum warp.green milliETH,Stablecoin,ETH bridged via warp.green
d93a7f55dfb95139ab5b4d0bed200eafcc85ce4901c60fb3f04397e9daa70f37,OXC,Oxygen Cash,Game-economy token,Oxygen Hunters in-game currency
1653a1df583f3ae6a822ab214b74d2a08fb4309025d54f2db140e5e6bc06e9da,MANA,🧙‍♂️,Memecoin,wizard emoji meme
e335003c6d59aaaabe27eeeaf8a7b1308765f6bc9492a0b16394f50dec6bdcb7,💎,HODL,Memecoin,HODL liquidity reward memecoin
14142d7922b2487d1a145db198f7cc232a99a2798ec7da90279af45270e53465,GOLD,GOLD,Social / community token,Tang Bears by Alfonso
4c4380af7d15c896d9e6266f322ac494c398803032eef56f2ab65877956d007f,NAME,Namesdao NAME,Protocol / platform / infra,Namesdao .xch name service
b121d01fe25c0f6097c269d0598c6cad99360d1674bb79bc29f8c4f7b9009951,DACH,Dachshund,Memecoin,Dachshund token meme
fe789863dd6ee42cd54f31a7ecb42dbb37554ccac0a9d03de5d67a534ddbe7af,NINJA,NINJA,Social / community token,Tang Bears by Alfonso
00000000024e1fb9fc47c7ec72854c6a987c4cc99f6535a4caca6154220eeda5,0000,0000... Zeros,Memecoin,experimental joke CAT
f930c6c02e8bb72e3d06eabb61483fbd4bbbc41906336e4db49c81affa51df81,GFY,Go Fuck Yourself,Memecoin,Go Fuck Yourself meme
cf03376948a71102deb621b7e22aa41a63ec4607053e691c7f347c8093589af4,O2,Oxygen,Game-economy token,Oxygen ecosystem token
8ebf855de6eb146db5602f0456d2f0cbe750d57f821b6f91a8592ee9f1d4cf31,MRMT,Marmot Coin,NFT-project utility token,proof of Marmot token
f7495302b0598cb5004377a364bef89fd17575a2c6a1653ac7a68cb304fb980f,BCAP,Bottle cap,Memecoin,Proof of BottleCap meme
7ccf260808c1c3b8d87e02ea2f8df9cf71d793b62c6cb42bd654aa289410f9b5,TIBET-HOA-XCH,TibetSwap LP HOA-XCH,LP token,TibetSwap LP token
d12fbf63bb015fa0e988509b971ad4c9da7cc5fc30f2499d3aab38c3fadc531c,DAT,DAT GOVERNANCE TOKEN,Protocol / platform / infra,DAT Community governance token
f3132ae74e11ffda309b22a204b7f106425420885ad812facda7b908d3a7bbf4,TIBET-🌱-XCH,TibetSwap LP 🌱-XCH,LP token,TibetSwap LP token
a4ad44551f7ba3f75851a4533e0e98d8d49aea7bf643180a6879245ce7fbd28c,WHUP,WHUP Token,Unclassified,no description
d5d153d346f835cd2284306e783e193ac598dc56309a7b76b90a76cbe3c2ad56,G$b,Gene$baby,Memecoin,I love Gene meme
c6be668127b983686af02ceb26486ead5144c958c9f450b273c4549f209a4660,BTC,BitTorrentChia,Memecoin,BitTorrentChia tribute meme
85dc4ba6b903f440c8915b5edbe04dbbf0ec8864a9abbaa1bdeeaaa625a1f4b9,CBDC,Chiabatta Backed Dangerous Cash,Memecoin,not your average CBDC
14feb393ffb015b7becf2c1eea218e4fbfef0bb932366b793d7c5193a8197358,GM ☕,GM,Memecoin,GM meme
6beb251f216d8e5a8e6fb0466d76f0c3085d94cd1e5d84aa5b778a9fa7406598,CRX,ChiRex Token,Memecoin,ChiRex prehistoric meme
01ac0cb37e80075dd028e2ceb433a79a5eb62649d5fbfd2e94650e33fa7d1cff,GOAT,Goat Coin,Memecoin,Power to the Goats meme
3b19b64418682ad60c6278d85f8076a108c9fb4ca385d401c6d41ba2bfa9612e,JOCK,JOCK,Memecoin,premier memecoin Chia
26f25ea7538617f038d644dcdfaa7c055561ec6c1bbf32ad7db6e457217f9f25,TIBET-LOVE-XCH,TibetSwap LP LOVE-XCH,LP token,TibetSwap LP token
ba9750db89ef16feb3eabadbfb199509e3e1290851188e5625d0956ca1354b85,TIBET-BEPE-XCH,TibetSwap LP BEPE-XCH,LP token,TibetSwap LP token
d4f1f6d29e6392c477b84dc65a4379eaba570d29f7930895d89148ab5ed4b343,SPACE,SPACE,Social / community token,Tang Bears by Alfonso
dd21263fd013000774dcb76db32a4a3b57e3c4760c42769bf286589f23d34efb,tremp,doland tremp,Memecoin,doland tremp meme
77b5178d32f66932dc9e48157f029b8a96bfed577ee877d2b22cd73d6799e424,TIBET-wUSDC.b-XCH,TibetSwap LP wUSDC.b-XCH,LP token,TibetSwap LP token
bf96d9d1a1973d41047e74d43117799d5b63b275c8f26921e6228ec84b553da9,STNK,STONKS,Memecoin,Real Stonks meme
42d298d75fb6400c7ea18f9b6a5a006580c3f43e47a625583cec4aafb9148a10,$DUMB,$DUMB,Memecoin,Just DUMB meme
001f4b4f03e1b5bdae1e4a757e9b3d7e5a62032332fb89887c5262bd736f0d68,MECH,MECH,Social / community token,Tang Bears by Alfonso
7f147901d20472fab470543c5eae51309ee54d4aecfa186f7366e2676141e139,BEAR,BEAR,Social / community token,Tang Bears by Alfonso
6c0af0c08407cb16da6f7021b6e6c1ab49dddc641645a2c28d178e896ec5379e,KINGBEAR,KINGBEAR,Social / community token,Tang Bears by Alfonso
2ed7adfeeb594cd115ab0d50d25b06c7ff5aeefded58af336aa910a63846e714,TIBET-INCL1-XCH,TibetSwap LP INCL1-XCH,LP token,TibetSwap LP token
339e9512bb050ecc2e0548cbe720692981a9132902b667588c68b8b5f00f0107,USA,USA,Memecoin,USA spirit meme token
c03eb501e5e9eef952f000c419eeb746fcd9ad23140309e011988375e68ed9ed,BNNCN,BananaCoin,Unclassified,no description
ef9df6c687ed9a325369f32ba38eb6dc83a1bd081e159a9b2dddfe6159e2ecf0,WTF2,WTF2 att-adj-tok,Unclassified,no description
2444e71c79fcb69339cc4768445b9a14e85805bfcc09b0b05b7824e4706bc908,DEVIL,DEVIL,Social / community token,Tang Bears by Alfonso
206a46714efaddda2b09a90720f3a1ad7f6d9dac3902939d0ab974f98f89e8e6,AIG,AI Agent,Protocol / platform / infra,AI Agent token
d76af742cbe799c03793c547ab535c1b776a41e19cf56adcf41d74a244a417fc,DXTS,DELTAXTRADES,Protocol / platform / infra,dexie.space market-making token
c09a612af3332491f8c44bb6a9dcbcdf1b20e214515bcd556be26ec078ab523f,$TVL,ThiccValueLocked,Memecoin,Pairs well with everything
0b0eb96bbba2e53d612ad2c7406b7107f3de71105bec00bc3a4457bf9a587b0d,TIBET-PP-XCH,TibetSwap LP PP-XCH,LP token,TibetSwap LP token
35cd47116c1ec3371cca2f3e3291157d474d72476df04258da1f7284d2330aca,SHROOM,Secure High Return Officially Optimized Money,Memecoin,digest responsibly meme
9f81bc1e1fbdc4027a08ef19923f3835c87311b70e897968c72fd20b2cc266b9,SBF,Spaceballs: The Flamethrower,Memecoin,go up in smoke meme
cbc75ea1c0840e55fa948d7bcf256f368ea8047c7eb9390fd790eebfcfac0cf4,CHILLGUY,CHILL GUY,Memecoin,just a chill guy
478b66e6f3c033a12ad43e354329a2f54c187503a4025abdb3b3824f92ca0819,TRZ,Torogoz,Memecoin,Torogoz meme reward token
0ed71c399419b16df76ae7cde9fa257f1dbf845bef462b7f9ea6de8d181cdf97,CIC,City Illusion Coin,NFT-project utility token,fans token City Illusion NFT
fbe2694f6fbc63a4d9c8a598dc70f8b6fdf468e8e595ca4c6efee5a2f1ec71a4,TIBET-SBX-XCH,TibetSwap LP SBX-XCH,LP token,TibetSwap LP token
a1b036efdc6767f612dc2c8f9a1107c7e879f7d02881c67085ba37f79ef23536,DPR,Dred Pirate Roberts,Memecoin,Dread Pirate Roberts meme
652829318a1cecc6c640ccb0aba8947833a80ca2274708f90ab44b14b8d74e32,BIKER,BIKER,Social / community token,Tang Bears by Alfonso
099e11465ef07b31b69ecea19589f84502755c4f93d1f74a0e817881065b8f87,CGLC,CatGurlCoin,NFT-project utility token,AnnoyNation NFT tribute coin
46ef568a4ec5f5656adb630bb90ceabbd73557fbf654fcd1144d70f0642287aa,TIBET-💎-XCH,TibetSwap LP 💎-XCH,LP token,TibetSwap LP token
f322a205c034fe28681829fa5a2e483ac421f0952eb1292945c8db06e0a471a6,wmilliETH.b,Base warp.green milliETH,Stablecoin,ETH bridged via warp.green
0f5867e44ff5ae301e924c8b654a1005d4a1a961c1fd1d0c0e0b328cacd8ca51,WLBF42,WizardLittleBearFriends42HoffCohen,NFT-project utility token,key to hidden NFTs
3ee6ab1c8fcf69c8a0c68a03717d40bbc012e2b898edaa733ea8e0bf1146e9d5,HDT,Hema DAO,Protocol / platform / infra,Chia media/NFT DAO
78b0c79c2844b5516ec5a5611eb359478a6da15c34c66a17a26ffd2e98a09c18,WITCHER,The Witcher,Memecoin,Witcher market meme token
444bddca5815027bf4118da0501a619aab689bb707b895f3e576e94f2c55195c,PUMP,PUMP,Memecoin,educate token launch meme
086287bab372e0fcf2ce36b43e4eab3e0ad0c6fcf6e1a326612e5240a2a8abb5,CAT,Chia Asset Token,Memecoin,spread awareness of CATs
a36680b5ac48be3bb816ff99a0e64b278061c193242d6d60622c70b0c6fe80b7,TIBET-PEPE-XCH,TibetSwap LP PEPE-XCH,LP token,TibetSwap LP token
a05880b37d4a1e5152e6398f4d66e91757924aeab13435143e747a1e6edd00dd,TIBET-INCL2-XCH,TibetSwap LP INCL2-XCH,LP token,TibetSwap LP token
e3a68cec0ec7826af09244c9dae144b3630ea0ba1c92691d95b1b833081b11e1,ROSS,Ross Ulbricht,Memecoin,Ross Ulbricht meme coin
4296ddbc0dbfbcb43b84ae200acffa462948f9b1655000f29892442226230fea,,,Unclassified,no description
d2039f75557be47a2679bd870949d834c943208e2a33cc798fc8bb6d6b95af48,OKRA,OKRA,Unclassified,no description
c85c0d96a746965f16f41a2ef83283d4a526ad2387198d977e03568e2a3a4ce0,SNAP,Seedsnapp,NFT-project utility token,Seedsnapp tweet-to-NFT bot token
4f90e7099dbdfbbaf632c31466b2a1b77dccb134f17e7c3f3556567f501f74a4,🦠,Microbes,Unclassified,no description
f7a975340fe224ed6e32467e4cf7ce544c9ddfc1079fc6d0e34e960dc64dbb90,TIBET-DBX-XCH,TibetSwap LP DBX-XCH,LP token,TibetSwap LP token
49f84392fa4dd3b5b9ab4dda821550c3a06ad0681ec074636a44cf9821a63e71,ANGEL,ANGEL,Social / community token,Tang Bears by Alfonso
216475ebcf59f28e0fb2f99f9a742a59f42e7906ccaff353e535aa83af3c83bb,MELT,MELT,Social / community token,Tang Bears by Alfonso
3aa444277876543e8e643697010d25341b256c400ed7bbd1cafe58cabd2b0038,BEER,BEER coin,NFT-project utility token,NORM! NFTs and BEER coin
582e5e9684210d2ce64e6dec63d526e8f8df0492a8eef591b9afc6bbf96971ff,TL,Timelord,Memecoin,Timelord battle meme
ecd6513e31f92bb5b9f8d87caa362e6a7f9dca8610506a8f57e4e5c283317f7b,Æ,ÆTHER,Memecoin,AETHERSPAWN keys meme
4d38ad9998bd93d3a424a788884f2386fbe076b9edcd36580ae02844388d23af,ZOMBIE,ZOMBIE,Social / community token,Tang Bears by Alfonso
456308b3e1ff54c98327742dc886f0060ec55e1169f469598d46b23fb952a4c8,ICE,ICE,Game-economy token,ICE Labs Chia Harvest P2E
6ae636f1eb6f00b72ff015f64bb86af4f46343697ce576173359b329c89f01a8,PUNK,PUNK,Social / community token,Tang Bears by Alfonso
5a4743ac88b052f387c1b5f969938c0d122f248616c769bb075dfecbe88ea471,SDT,Stardust,Protocol / platform / infra,HemaDAO application token
ab1634e50e891771672bd3094c1c57a1a2187b2a8c7a1545f3d4b06b5608f4e8,FMX,FarmX,Memecoin,FarmX upcoming ecosystem
9db189e76bafe22487cae5ce122eadb0b6217f169f9c5db07a4eeaec27a39a6a,BWF,Be W Free,Memecoin,Be W Free meme
bae62a38ea2e4d6fb165c6583ea57a2b28bedf73625e56073cdc53f7da1939e8,FDB,Flying Dutchman Bux,Memecoin,Flying Dutchman Bux meme
36029c0e2f17c2021c5f078a85917bbb10a006cd9431da74d26344723fc3679e,TWV,TWV,Memecoin,DickWifBucket lovebirds meme
